3301
0 1 2 3
114 139 138 430
136 255 251 259
13 255 136 259
476 544 332 333
6 8 9 23
7 25 28 340
548 96 202 97
91 92 93 208
238 549 317 372
21 23 186 187
465 237 26 27
18 300 27 372
125 349 126 389
36 147 150 189
33 220 48 305
149 221 216 480
31 58 113 169
210 216 215 217
532 534 550 430
135 251 442 451
4 121 247 443
551 445 447 213
3 6 8 9
135 279 443 451
441 214 217 368
116 323 255 370
6 262 145 338
552 553 273 342
554 145 273 338
552 273 145 274
504 455 485 282
54 173 420 421
45 53 51 58
20 22 144 145
6 20 23 25
9 23 27 28
21 66 61 187
555 556 557 558
559 292 294 560
561 144 20 186
6 20 22 23
92 126 155 221
152 230 229 493
140 156 151 219
229 230 469 493
154 221 389 398
123 229 230 469
154 389 349 398
185 269 283 405
102 134 103 162
464 26 236 187
237 27 238 187
254 120 118 258
296 27 300 372
562 296 27 300
237 26 27 187
518 25 465 26
236 26 237 187
465 562 27 28
229 429 448 469
563 445 343 448
474 359 446 448
474 343 359 448
447 213 448 469
229 429 359 448
446 359 429 448
447 448 429 469
151 219 154 230
124 348 350 413
115 116 122 348
556 564 557 558
230 493 481 565
213 229 448 469
149 155 197 210
230 481 413 565
126 154 155 221
92 197 93 208
91 93 192 206
149 197 155 221
149 197 221 480
566 567 561 144
91 194 90 568
476 333 332 479
189 190 191 193
193 192 235 363
191 192 210 235
36 150 147 152
124 125 137 349
149 155 154 221
88 138 139 521
64 67 198 286
64 63 67 222
246 351 247 522
527 246 67 522
63 222 223 569
88 139 317 521
126 389 221 482
92 155 126 195
570 318 568 571
66 317 187 318
13 24 60 114
319 186 187 318
192 206 210 235
115 116 137 424
221 389 377 482
32 40 107 140
54 419 172 572
54 55 56 419
289 290 292 560
50 382 497 573
106 302 148 315
172 513 514 574
42 45 44 47
52 53 108 173
293 294 298 383
56 293 166 381
46 314 49 331
51 59 55 324
44 49 314 523
44 45 49 265
471 575 576 48
56 57 309 381
577 578 579 158
580 39 44 265
29 170 167 459
324 489 331 523
45 51 50 58
580 265 44 523
41 44 42 46
50 58 57 309
54 423 416 581
46 314 331 501
49 331 314 523
54 417 416 423
57 326 379 498
324 417 331 489
324 416 489 498
407 408 192 194
149 221 154 398
122 429 350 582
